M. Wiegand, B. Roth, D. Klakow.	Web-based Relation Extraction for the Food Domain.	NLDB 2012.	pdf	https://www.lsv.uni-saarland.de/fileadmin/publications/foodRels.pdf

B. Roth, G. Chrupala, M. Wiegand, M. Singh, D. Klakow.	Generalizing from Freebase and Patterns using Distant Supervision for Slot Filling.	NIST Text Analysis Conference 2012.	pdf	https://www.lsv.uni-saarland.de/fileadmin/publications/TAC2012.pdf

M. Wiegand, B. Roth, D. Klakow.	Knowledge Acquisition with Natural Language Processing in the Food Domain: Potential and Challenges.	ECAI 2012 Workshop: Cooking with Computers.	pdf	http://liris.cnrs.fr/cwc/cwc2012/cwc2012_submission_1.pdf

M. Wiegand, B. Roth, D. Klakow.	Data-driven Knowledge Extraction for the Food Domain.	KONVENS 2012.	pdf	http://www.oegai.at/konvens2012/proceedings/07_wiegand12o/07_wiegand12o.pdf

M. Wiegand, B. Roth, E. Lasarcyk, S. Köser, D. Klakow.	A Gold Standard for Relation Extraction in the Food Domain.	LREC 2012.	pdf	http://www.lrec-conf.org/proceedings/lrec2012/pdf/136_Paper.pdf

B. Roth, A. McCallum, M. Dymetman and N. Cancedda.	Machine Translation Using Overlapping Alignments and SampleRank.	AMTA 2010.	pdf	http://amta2010.amtaweb.org/AMTA/papers/2-31-RothMcCallumEtal.pdf

G. Chrupala, G. Dinu and B. Roth.	Enriched Syntax-based Meaning Representation for Answer Extraction.	SIGIR 2010 Workshop: Query Representation and Understanding.	pdf	https://sites.google.com/site/rothbenj/about-me/sigir-qr-2010-fixed.pdf?attredirects=0

B. Roth and D. Klakow.	Cross-Language Retrieval Using Link-Based Language Models.	SIGIR 2010.	pdf	https://www.lsv.uni-saarland.de/fileadmin/publications/sigir2010-link-lm-clir.pdf

L. Li, B. Roth and C. Sporleder.	Topic Models for Word Sense Disambiguation and Token-Based Idiom Detection.	ACL 2010.	pdf	http://aclweb.org/anthology//P/P10/P10-1116.pdf

M. Wiegand, A. Balahur, B. Roth, D. Klakow and A. Montoyo.	A Survey on the Role of Negation in Sentiment Analysis.	2010 Workshop on Negation and Speculation in NLP.	pdf	http://aclweb.org/anthology//W/W10/W10-3111.pdf

B. Roth and D. Klakow.	Combining Wikipedia-Based Concept Models for Cross-Language Retrieval.	IRF Conference 2010.	pdf	https://www.lsv.uni-saarland.de/fileadmin/publications/irf2010-combining-wikipedia-clir.pdf
